Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Deshaun Watson,QB,HOU,74,67,68,86,80,61,64,60,62,bye,63,65,76,72,53,65,77,1093,68.3,9,0,100,3.75,0,1.5,0,0,0,0,,
Tom Brady,QB,NE,75,61,48,77,69,78,64,74,71,58,bye,70,74,81,62,66,64,1092,68.3,2,0,98,3.75,0,3,0.5,1,0,0,,
Ben Roethlisberger,QB,PIT,84,82,66,62,60,73,bye,70,80,50,65,78,68,41,64,75,68,1086,67.9,3,0,97,3.75,0,1.5,0,0,0,0,,
DeAndre Hopkins,WR,HOU,73,67,68,86,80,61,64,59,61,bye,63,64,75,72,51,65,75,1084,67.8,0,15,99,3.75,0.58,2.51,0.25,0.72,0.39,0,,
Case Keenum,QB,WAS,74,66,68,60,77,65,59,73,66,0,56,57,59,74,73,67,79,1073,67.1,2,0,100,3.75,0,1.5,0,0,0,0,,
Dak Prescott,QB,DAL,64,53,59,69,62,67,66,bye,59,69,64,70,71,99,69,52,78,1071,66.9,7,0,99,3.75,0,1.5,1,0,0,0,,
Russell Wilson,QB,SEA,57,66,69,66,60,65,bye,63,81,68,70,62,58,66,75,80,63,1069,66.8,6,0,100,3.75,0,1.5,0,0,0,0,,
Jared Goff,QB,LAR,63,72,77,55,66,74,51,78,60,65,80,bye,69,63,76,60,55,1064,66.5,4,0,97,3.75,0,1.5,0,0,0,0,,
Matthew Stafford,QB,DET,63,77,73,54,62,bye,64,59,70,78,65,66,72,60,57,60,73,1053,65.8,2,0,98,3.75,0,1.5,0,0,0,0,,
Kirk Cousins,QB,MIN,71,73,66,74,62,71,69,73,49,bye,67,70,61,58,69,61,57,1051,65.7,4,0,100,3.75,0,1.5,0,0,0,0,,
Matt Ryan,QB,ATL,70,62,68,70,64,67,65,bye,68,75,56,70,53,71,64,48,77,1048,65.5,3,0,99,3.75,0,2.5,0.5,1,0,0,,
Robert Woods,WR,LAR,61,70,74,55,66,72,50,76,58,64,79,bye,66,63,76,60,51,1041,65.1,2,13,95,8.26,0.57,2.05,0.21,0.68,0.18,0.05,,
Derek Carr,QB,OAK,74,65,76,92,53,60,bye,50,47,63,68,56,76,67,59,62,66,1034,64.6,2,0,99,3.75,0,1.5,0,0,0,0,,
Patrick Mahomes,QB,KC,56,58,75,78,70,54,70,58,63,59,72,bye,71,86,60,61,41,1032,64.5,6,0,99,3.75,0,1.5,0,0,0,0,,
Aaron Rodgers,QB,GB,46,77,69,76,81,71,bye,52,74,57,49,53,76,64,68,91,9,1013,63.3,4,0,94,3.75,0,1.5,0,0,0,0,,
Adam Thielen,WR,MIN,68,70,66,73,60,69,66,69,45,bye,67,68,61,56,63,57,53,1011,63.2,0,15,96,6,0.65,2.1,0.23,0.76,0.3,0,,
Eli Manning,QB,NYG,71,68,62,62,56,65,64,70,bye,59,53,61,72,46,65,65,71,1010,63.1,1,0,98,3.75,0,1.5,0,0,0,0,,
Zach Ertz,TE,PHI,70,74,81,76,57,71,65,57,bye,62,47,52,59,44,59,73,53,1000,62.5,0,16,92,3.75,0.58,2.01,0.27,0.75,0.25,0,,
Antonio Brown,WR,OAK,83,77,62,59,57,63,bye,70,81,51,64,72,67,59,61,72,0,998,66.5,0,17,95,3.75,0.67,1.94,0.24,0.63,0.83,0,,
Travis Kelce,TE,KC,56,57,71,73,66,51,60,55,60,58,72,bye,69,85,60,60,40,993,62.1,0,15,95,3.75,0.58,2.31,0.24,0.74,0.2,0,,
Brandin Cooks,WR,LAR,61,72,74,52,28,68,50,75,59,63,70,bye,66,62,76,59,54,989,61.8,1,12,90,6.8,0.59,2.07,0.19,0.73,0.15,0.05,,
Nelson Agholor,WR,PHI,68,72,80,72,52,64,59,57,bye,55,44,47,65,49,63,74,64,985,61.6,0,10,90,10.67,0.61,1.5,0.15,0.71,0.13,0,,
Drew Brees,QB,NO,64,66,79,70,63,bye,71,53,71,63,65,57,52,64,74,66,0,978,65.2,3,0,98,3.75,0,1.5,0,0,0,0,,
Christian McCaffrey,RB,CAR,57,63,67,bye,69,60,59,64,61,54,58,59,70,74,58,82,10,965,60.3,23,13,91,5.01,0.51,1.77,0.25,0.89,0.22,0.58,,
Philip Rivers,QB,LAC,82,55,52,68,64,53,44,bye,51,56,77,56,63,57,74,63,49,964,60.3,2,0,97,3.75,0,1.5,0,0,0,0,,
JuJu Smith-Schuster,WR,PIT,63,76,55,60,50,50,bye,56,77,42,61,66,60,52,60,69,63,960,60,0,17,86,13,0.71,2.08,0.24,0.69,0.21,0,,
Jarvis Landry,WR,CLE,81,59,66,72,80,73,67,52,73,36,bye,39,46,42,57,58,56,957,59.8,0,16,88,20,0.62,1.64,0.23,0.59,0.14,0.11,,
Davante Adams,WR,GB,59,75,68,76,71,63,bye,40,71,53,46,53,72,56,64,87,0,954,63.6,0,18,94,3.75,0.68,2.12,0.25,0.69,0.5,0,,
Zay Jones,WR,BUF,60,51,42,53,50,58,51,60,79,62,bye,55,66,69,66,61,58,941,58.8,0,11,89,3.75,0.58,1.5,0.18,0.57,0.5,0,,
Mike Evans,WR,TB,50,47,59,57,bye,57,82,70,60,55,65,58,57,61,45,66,51,940,58.8,0,15,84,3.75,0.68,2.39,0.21,0.64,0.22,0,,
Sterling Shepard,WR,NYG,61,65,59,59,56,63,59,67,bye,56,46,56,57,43,65,58,66,936,58.5,0,11,91,11,0.64,1.5,0.17,0.65,0.17,0,,
Mitch Trubisky,QB,CHI,70,66,74,59,bye,70,82,66,48,57,74,0,0,71,60,64,68,929,66.4,7,0,99,3.75,0,1.5,0,0,0,0,,
George Kittle,TE,SF,51,50,54,50,87,53,52,60,33,71,bye,60,67,66,59,54,61,928,58,0,15,88,10,0.53,2.82,0.26,0.69,0.19,0,,
Michael Thomas,WR,NO,61,58,75,66,51,bye,65,51,65,46,57,52,51,58,69,61,41,927,57.9,0,16,88,3.75,0.57,2.66,0.28,0.86,0.26,0,,
Kyle Rudolph,TE,MIN,59,63,64,60,54,60,56,63,46,bye,61,64,60,57,51,58,49,925,57.8,0,9,88,3.75,0.59,1.5,0.14,0.84,0.13,0,,
Tyler Lockett,WR,SEA,56,60,61,62,52,51,bye,44,68,60,53,56,40,56,68,69,52,908,56.8,1,8,85,5.31,0.51,2.1,0.14,0.88,0.29,0,,
Baker Mayfield,QB,CLE,0,0,46,81,80,74,68,64,72,53,bye,64,57,52,67,69,59,906,64.7,4,0,96,3.75,0,1.5,0.33,0,0,0,,
Tyreek Hill,WR,KC,40,51,68,70,64,53,52,48,61,54,69,bye,63,65,53,58,36,905,56.6,2,15,87,6.86,0.64,2.54,0.22,0.67,0.24,0.07,,
Kenny Golladay,WR,DET,65,71,64,53,49,bye,49,54,68,75,61,65,70,50,52,58,0,904,60.3,0,13,90,8,0.63,1.87,0.2,0.61,0.26,0,,
Ezekiel Elliott,RB,DAL,59,50,56,53,50,63,66,bye,52,61,56,65,63,86,61,49,0,890,59.3,34,11,89,4.72,0.46,1.5,0.22,0.85,0.13,0.86,,
Cam Newton,QB,CAR,67,67,67,bye,71,60,59,62,62,54,57,59,69,73,58,0,0,885,63.2,11,0,99,3.75,0,1.5,0,0,0,0,,
Stefon Diggs,WR,MIN,61,62,57,63,53,63,63,64,0,bye,62,66,47,50,55,52,56,874,58.3,1,17,87,6.2,0.68,1.72,0.24,0.72,0.3,0,,
Larry Fitzgerald,WR,ARI,52,26,48,52,42,49,64,66,bye,70,50,43,60,67,65,52,66,872,54.5,0,13,93,3.75,0.61,1.5,0.2,0.64,0.4,0,,
Corey Davis,WR,TEN,63,48,52,60,49,38,61,bye,65,59,58,53,65,49,65,49,38,872,54.5,1,13,88,9.17,0.56,1.83,0.22,0.6,0.27,0,,
David Njoku,TE,CLE,78,46,62,68,72,60,57,53,55,35,bye,43,46,43,56,40,57,871,54.4,0,10,80,3.75,0.57,1.5,0.17,0.67,0.14,0,,
Trey Burton,TE,CHI,61,57,63,45,bye,51,70,48,40,43,59,55,68,57,46,50,47,860,53.8,0,9,80,3.75,0.57,1.5,0.15,0.74,0.22,0,,
Saquon Barkley,RB,NYG,55,58,44,54,48,50,59,68,bye,54,47,47,57,31,65,57,59,853,53.3,31,14,83,5.01,0.55,1.53,0.24,0.8,0.17,0.92,,
Josh Doctson,WR,WAS,70,71,47,bye,0,59,57,56,68,45,64,59,43,55,56,55,41,846,56.4,0,9,88,3.75,0.61,1.5,0.15,0.59,0.13,0,,
C.J. Uzomah,TE,CIN,36,37,35,51,55,56,55,64,bye,42,55,74,67,58,69,41,45,840,52.5,0,8,84,3.75,0.54,1.5,0.14,0.68,0.11,0,,
Amari Cooper,WR,DAL,69,54,60,80,51,12,0,bye,50,54,51,47,56,90,54,44,66,838,55.9,0,13,80,10,0.65,1.85,0.19,0.74,0.3,0,,
Mohamed Sanu,WR,ATL,56,48,59,55,59,33,40,bye,47,70,51,57,44,57,61,32,61,830,51.9,1,11,78,6.29,0.68,1.5,0.16,0.73,0.11,0,,
Taylor Gabriel,WR,CHI,60,63,55,48,bye,46,64,44,44,46,55,47,76,57,46,51,28,830,51.9,1,11,77,6.78,0.58,1.5,0.19,0.74,0.07,0,,
Todd Gurley,RB,LAR,59,49,64,53,66,58,36,70,54,58,68,bye,65,62,63,0,0,825,58.9,31,10,86,4.89,0.52,1.5,0.18,0.78,0.12,0.81,,
Willie Snead,WR,BAL,42,57,40,39,67,55,44,52,43,bye,53,49,66,51,58,42,63,821,51.3,0,12,69,13,0.53,1.5,0.21,0.68,0.06,0,,
Courtland Sutton,WR,DEN,44,54,53,42,59,35,40,49,56,bye,50,42,41,51,63,66,74,819,51.2,0,10,76,3.75,0.65,1.5,0.15,0.53,0.25,0,,
Julio Jones,WR,ATL,57,48,54,54,53,51,49,bye,55,73,51,62,41,63,32,24,51,818,51.1,0,21,77,6,0.7,2.93,0.29,0.68,0.23,0,,
Donte Moncrief,WR,PIT,43,51,48,60,68,38,55,56,0,61,51,53,45,53,40,53,40,815,50.9,0,11,78,3.75,0.67,1.5,0.16,0.56,0.09,0,,
Sam Darnold,QB,NYJ,60,65,63,56,62,71,71,54,66,0,bye,0,0,51,75,60,56,810,62.3,5,0,100,3.75,0,1.5,0,0,0,0,,
Austin Hooper,TE,ATL,59,53,58,57,55,54,56,bye,54,61,47,48,38,55,34,31,49,809,50.6,0,11,76,3.75,0.61,1.5,0.17,0.84,0.11,0,,
Michael Crabtree,WR,ARI,53,73,52,48,72,41,48,45,43,0,53,47,36,51,44,43,56,805,50.3,0,12,68,3.75,0.62,1.5,0.2,0.55,0.2,0,,
Dede Westbrook,WR,JAC,31,51,39,57,61,44,50,58,bye,60,49,50,51,65,43,52,44,805,50.3,1,13,77,10.89,0.69,1.5,0.17,0.69,0.33,0,,
Chris Hogan,WR,CAR,68,55,48,70,63,47,42,45,53,54,0,28,32,33,39,62,64,803,50.2,0,7,72,3.75,0.62,1.5,0.1,0.69,0.11,0,,
Chris Conley,WR,JAC,35,36,49,73,43,38,46,30,34,54,64,0,65,85,57,57,36,802,50.1,0,6,77,3.75,0.64,1.5,0.09,0.68,0.33,0,,
Jimmy Graham,TE,GB,59,58,64,54,66,56,bye,46,59,39,21,22,54,47,47,64,39,795,49.7,0,11,74,3.75,0.7,1.5,0.15,0.66,0.08,0,,
Keenan Allen,WR,LAC,72,50,40,57,49,39,40,bye,43,50,69,52,58,54,17,59,45,794,49.6,1,17,80,8.33,0.6,2.5,0.26,0.78,0.19,0,,
Tyler Higbee,TE,LAR,60,64,58,34,53,55,42,62,42,50,59,bye,47,27,42,50,43,788,49.3,0,4,72,3.75,0.3,1.5,0.12,0.83,0.06,0,,
Adam Humphries,WR,TEN,44,29,53,49,0,51,57,62,55,54,49,38,41,57,29,63,50,781,48.8,0,13,70,5.5,0.73,1.5,0.18,0.74,0.33,0,,
Josh Rosen,QB,MIA,0,0,13,60,51,58,66,66,0,73,54,47,62,70,51,44,66,781,55.8,3,0,93,3.75,0,1.5,0,0,0,0,,
Blake Bortles,QB,LAR,63,71,57,77,83,48,30,64,0,75,69,70,0,0,0,23,47,777,59.8,7,0,90,3.75,0,1.5,0,0,0,0,,
Marcus Mariota,QB,TEN,36,0,53,71,54,44,71,bye,70,65,35,55,67,60,67,27,0,775,55.4,8,0,88,3.75,0,10.5,0.5,1,0,0,,
Tyler Boyd,WR,CIN,49,58,51,62,45,57,56,61,bye,41,52,72,66,64,39,0,0,773,55.2,0,14,86,3.75,0.65,2.06,0.21,0.74,0.26,0,,
Alshon Jeffery,WR,PHI,0,0,0,65,55,59,64,54,bye,60,51,64,66,51,64,61,57,771,59.3,0,12,90,3.75,0.63,1.74,0.19,0.72,0.19,0,,
Jared Cook,TE,NO,67,52,62,76,48,51,0,31,34,37,39,32,55,57,52,34,43,770,48.1,0,13,74,3.75,0.64,1.83,0.2,0.69,0.18,0,,
Antonio Callaway,WR,CLE,15,50,69,57,55,72,51,59,39,39,bye,38,41,38,49,47,47,766,47.9,0,10,70,3.5,0.64,1.5,0.16,0.55,0.18,0,,
Allen Robinson,WR,CHI,67,63,69,53,bye,59,61,0,0,54,67,51,70,61,46,44,0,765,58.8,0,12,86,9,0.58,1.69,0.21,0.59,0.15,0,,
Demaryius Thomas,WR,NE,53,59,54,51,47,48,41,52,49,0,46,54,60,68,47,35,0,764,50.9,0,12,76,3.75,0.6,1.5,0.19,0.68,0.17,0,,
T.Y. Hilton,WR,IND,80,55,59,43,0,0,35,64,bye,43,42,60,66,54,41,58,63,763,54.5,0,16,77,3.75,0.66,2.54,0.23,0.66,0.15,0,,
Tyrell Williams,WR,OAK,62,45,38,55,46,49,36,0,47,45,67,9,50,48,65,58,41,761,47.6,0,8,76,7.5,0.61,1.5,0.14,0.65,0.28,0,,
John Brown,WR,BUF,48,68,55,44,59,41,50,46,39,0,51,45,43,50,47,34,37,757,47.3,0,13,64,3.75,0.63,1.5,0.19,0.46,0.36,0,,
David Johnson,RB,ARI,36,35,43,55,48,55,48,53,bye,56,43,37,52,62,34,40,52,749,46.8,34,10,80,3.64,0.48,1.5,0.19,0.72,0.2,0.78,,
Julian Edelman,WR,NE,0,0,0,0,48,71,63,73,64,54,bye,60,66,74,58,58,58,747,62.3,1,14,87,11.89,0.58,1.95,0.24,0.7,0.2,0,,
Kenny Stills,WR,MIA,59,56,40,38,60,67,49,0,28,65,bye,51,48,40,51,37,56,745,49.7,0,9,87,3.75,0.58,1.5,0.14,0.62,0.24,0,,
Ryan Griffin,TE,NYJ,63,52,52,59,57,51,0,0,47,0,47,43,61,59,44,47,61,743,53.1,0,6,77,3.75,0.49,1.5,0.12,0.57,0,0,,
Michael Gallup,WR,DAL,29,25,25,40,24,59,56,bye,47,58,52,36,52,77,55,41,63,739,46.2,0,9,68,3.75,0.58,1.5,0.15,0.5,0.09,0,,
D.J. Moore,WR,CAR,17,17,33,bye,29,27,27,46,53,49,45,54,66,67,57,86,59,732,45.8,2,11,69,13.23,0.59,1.81,0.18,0.71,0.07,0,,
Carson Wentz,QB,PHI,0,0,82,78,59,71,67,62,bye,62,51,65,75,52,0,0,0,724,65.8,5,0,100,3.75,0,1.5,0,0,0,0,,
Josh Allen,QB,BUF,32,62,67,58,65,38,0,0,0,0,bye,58,72,76,68,61,62,719,59.9,12,0,93,3.75,0,1.5,1,0,0,0,,
James Conner,RB,PIT,77,72,56,49,45,66,bye,56,68,23,58,67,49,0,0,0,32,718,55.2,30,10,78,4.53,0.53,1.5,0.18,0.82,0.03,0.92,,
Chris Godwin,WR,TB,46,29,37,31,bye,37,66,63,37,34,23,49,52,60,41,61,51,717,44.8,0,13,64,3.75,0.63,1.87,0.2,0.66,0.19,0,,
Odell Beckham Jr.,WR,CLE,68,66,59,59,52,63,61,67,0,56,46,52,67,0,0,0,0,716,59.7,1,17,94,3.8,0.65,2.26,0.26,0.65,0.21,0,,
Cole Beasley,WR,BUF,43,30,42,38,37,42,53,0,44,48,42,43,47,65,44,35,60,713,44.6,0,12,66,3.75,0.67,1.5,0.18,0.76,0.21,0,,
Marquez Valdes-Scantling,WR,GB,2,6,12,54,77,66,bye,31,60,54,48,44,64,30,21,72,51,692,43.3,0,10,64,14.5,0.69,1.5,0.14,0.57,0.08,0,,
Jameis Winston,QB,TB,0,0,0,35,bye,66,95,63,0,0,30,73,65,70,50,80,61,688,62.5,7,0,88,3.75,0,1.5,0,0,0,0,,
Keelan Cole,WR,JAC,47,59,53,60,74,45,52,15,bye,22,16,50,36,51,39,35,33,687,42.9,0,10,66,3.75,0.69,1.5,0.14,0.59,0.07,0,,
Danny Amendola,WR,DET,45,44,31,42,53,75,55,65,47,66,0,14,0,25,39,31,50,682,45.5,0,12,79,3.75,0.61,1.5,0.18,0.79,0.05,0,,
Robby Anderson,WR,NYJ,35,53,42,42,32,53,62,0,47,0,bye,48,49,38,71,56,54,682,48.7,0,14,77,3.75,0.64,1.72,0.2,0.57,0.38,0,,
Virgil Green,TE,LAC,44,41,33,50,46,48,32,bye,34,47,54,45,41,40,43,29,47,674,42.1,0,4,68,3.75,0.35,1.5,0.11,0.7,0.03,0,,
Kyle Juszczyk,RB,SF,26,40,53,37,68,39,34,47,34,46,bye,38,39,42,46,33,40,662,41.4,1,6,63,3.75,0.39,1.5,0.14,0.81,0.04,0,,
Emmanuel Sanders,WR,DEN,64,54,60,54,73,56,43,59,61,bye,50,44,40,0,0,0,0,658,54.8,1,15,84,13.25,0.62,2.12,0.24,0.73,0.25,0.06,,
Alvin Kamara,RB,NO,52,51,67,59,31,bye,39,38,41,34,44,37,36,41,47,40,0,657,43.8,30,16,66,4.55,0.51,2.12,0.29,0.83,0.12,0.7,,
Josh Hill,TE,NO,24,39,49,43,38,bye,44,34,55,43,46,31,26,45,51,46,38,652,40.8,0,4,62,3.75,0.3,1.5,0.12,0.7,0.03,0,,
Alex Smith,QB,WAS,79,74,61,bye,61,70,60,68,69,58,51,0,0,0,0,0,0,651,65.1,6,0,96,3.75,0,1.5,0,0,0,0,,
Nick Boyle,TE,BAL,54,43,38,55,39,48,32,31,21,bye,53,51,50,39,21,39,37,651,40.7,0,6,55,3.75,0.26,1.5,0.18,0.74,0,0,,
Calvin Ridley,WR,ATL,45,35,42,38,48,7,41,bye,47,53,40,52,34,44,43,29,46,644,40.3,1,14,61,4.8,0.72,1.77,0.2,0.7,0.29,0,,
Joe Flacco,QB,DEN,55,85,72,76,87,76,68,61,61,bye,0,0,0,0,0,0,0,641,71.2,3,0,95,3.75,0,1.5,0,0,0,0,,
Eric Ebron,TE,IND,37,16,52,76,59,49,33,17,bye,21,25,49,58,45,38,20,39,634,39.6,0,17,56,3.75,0.71,1.66,0.24,0.61,0.33,0.08,,
Josh Gordon,WR,NE,69,0,0,18,18,63,61,64,57,55,bye,53,48,70,57,0,0,633,52.8,0,11,72,3.75,0.6,1.94,0.18,0.61,0.13,0,,
Andy Dalton,QB,CIN,56,76,65,73,60,61,48,66,bye,37,55,30,0,0,0,0,0,627,57,3,0,92,3.75,0,1.5,0,0,0,0,,
Jermaine Kearse,WR,DET,0,20,34,48,39,59,64,52,48,50,0,40,48,28,62,34,0,626,44.7,0,12,71,3.75,0.62,1.5,0.19,0.51,0.05,0,,
Chris Herndon IV,TE,NYJ,34,44,34,36,41,28,24,27,42,36,bye,51,50,41,52,39,46,625,39.1,0,9,62,3.75,0.49,1.65,0.18,0.72,0.25,0,,
Jordan Howard,RB,PHI,50,48,46,33,0,36,46,38,26,30,48,35,34,39,34,40,41,624,39,40,4,58,3.74,0.34,1.5,0.12,0.77,0,0.75,,
Devin Funchess,WR,IND,57,66,52,0,51,58,54,48,45,49,48,0,32,29,11,22,0,622,44.4,0,13,67,3.75,0.65,1.5,0.19,0.57,0.1,0,,
Mike Williams,WR,LAC,44,39,35,46,45,38,30,bye,15,26,45,63,34,29,66,40,27,622,38.9,1,11,62,4,0.61,1.74,0.17,0.67,0.31,0.06,,
David Moore,WR,SEA,16,20,23,43,31,30,bye,45,63,45,40,32,28,52,58,55,39,620,38.8,0,8,58,5,0.52,1.5,0.16,0.52,0.15,0,,
Lamar Miller,RB,HOU,57,51,52,46,0,41,45,34,40,bye,46,40,41,51,11,0,64,619,44.2,34,6,65,4.63,0.45,1.5,0.12,0.74,0.04,0.71,,
Peyton Barber,RB,TB,48,36,44,31,bye,41,35,43,35,33,48,36,40,32,32,47,35,616,38.5,38,5,55,3.72,0.44,1.5,0.1,0.74,0.03,0.63,,
Josh Reynolds,WR,LAR,2,2,4,1,36,46,51,69,2,10,78,bye,67,63,75,35,70,611,38.2,0,9,55,4,0.53,1.5,0.15,0.59,0.15,0,,
Jonnu Smith,TE,TEN,40,59,57,69,42,25,56,bye,53,60,42,42,48,17,0,0,0,610,46.9,0,5,75,3.75,0.41,1.5,0.12,0.69,0.2,0,,
